Comparison,AUC_1,AUC_2,Delta_AUC,Z,p_value,Significant
LGB: Full(83) vs Base(57),0.7753377228958791,0.7747275247880258,0.0006101981078533436,0.32920147907375363,0.7420034050505941,No
XGB: Full(83) vs Base(57),0.7679248279176887,0.7655818340161605,0.0023429939015281454,1.1450672116129397,0.25218131654398257,No
RF : Full(83) vs Base(57),0.7819185468353006,0.7810201793815069,0.0008983674537936803,0.830656918579802,0.40616747040457557,No
Optuna vs Default (Full LGB),0.7880930363530387,0.7753377228958791,0.012755313457159634,7.3970338041943435,1.3926010870673883e-13,Yes
Cal-Optuna vs Default-LGB,0.7873464656971034,0.7753377228958791,0.012008742801224326,6.871075147042148,6.371981404023965e-12,Yes
