Comparison,AUC_1,AUC_2,Delta_AUC,Z,p_value,Significant
Raw: SMOTE vs class_weight,0.7697218012341381,0.7880930363530387,-0.018371235118900597,9.897920399764933,4.2502078920606197e-23,Yes
Calibrated: SMOTE vs class_weight,0.7684881585934327,0.7873464656971034,-0.018858307103670757,9.894832443607179,4.383438376645587e-23,Yes
