Stkcd,year
002490,2025
002493,2025
002496,2025
002538,2025
002570,2025
002581,2025
002598,2025
002630,2025
002657,2025
002681,2025
002726,2025
002743,2025
002759,2025
002779,2025
002816,2025
002829,2025
002861,2025
002878,2025
002882,2025
002898,2025
002952,2025
002996,2025
300049,2025
300080,2025
300086,2025
300087,2025
300111,2025
300118,2025
300122,2025
300152,2025
300217,2025
300241,2025
300247,2025
300271,2025
300284,2025
300423,2025
300424,2025
300432,2025
300448,2025
300469,2025
300534,2025
300561,2025
300626,2025
300731,2025
300774,2025
300781,2025
300831,2025
300912,2025
301051,2025
301212,2025
301314,2025
301330,2025
301357,2025
301487,2025
600070,2025
600131,2025
600158,2025
600193,2025
600201,2025
600252,2025
600267,2025
600280,2025
600327,2025
600368,2025
600381,2025
600400,2025
600462,2025
600477,2025
600499,2025
600530,2025
600581,2025
600589,2025
600622,2025
600671,2025
600746,2025
600753,2025
600822,2025
600848,2025
600850,2025
600965,2025
601005,2025
601118,2025
601999,2025
603038,2025
603077,2025
603169,2025
603226,2025
603322,2025
603329,2025
603377,2025
603378,2025
603388,2025
603398,2025
603421,2025
603535,2025
603536,2025
603588,2025
603598,2025
603626,2025
603629,2025
603690,2025
603721,2025
603789,2025
603813,2025
603826,2025
603828,2025
603843,2025
603863,2025
603917,2025
603959,2025
603983,2025
605180,2025
605255,2025
605336,2025
605376,2025
688022,2025
688060,2025
688078,2025
688096,2025
688115,2025
688122,2025
688132,2025
688189,2025
688287,2025
688296,2025
688299,2025
688333,2025
688360,2025
688488,2025
688511,2025
688592,2025
688600,2025
688646,2025
688717,2025
688719,2025
900957,2025
920023,2025
920030,2025
920057,2025
920098,2025
920152,2025
920163,2025
920171,2025
920184,2025
920227,2025
920405,2025
920469,2025
920471,2025
920489,2025
920570,2025
920641,2025
920719,2025
920748,2025
920786,2025
920985,2025
000078,2026
000711,2026
000789,2026
000926,2026
001211,2026
002131,2026
002221,2026
002244,2026
002323,2026
002329,2026
002342,2026
002368,2026
002496,2026
002514,2026
002535,2026
002538,2026
002554,2026
002581,2026
002667,2026
002743,2026
002769,2026
002927,2026
002932,2026
300068,2026
300076,2026
300086,2026
300147,2026
300152,2026
300177,2026
300255,2026
300275,2026
300377,2026
300399,2026
300432,2026
300477,2026
300510,2026
300560,2026
300598,2026
300746,2026
300774,2026
300879,2026
300902,2026
300937,2026
301030,2026
301070,2026
301180,2026
301248,2026
600153,2026
600421,2026
600423,2026
600481,2026
600491,2026
600608,2026
600636,2026
600734,2026
600965,2026
603033,2026
603065,2026
603155,2026
603189,2026
603319,2026
603322,2026
603535,2026
603773,2026
603936,2026
603958,2026
605081,2026
605577,2026
688005,2026
688133,2026
688209,2026
688420,2026
688488,2026
688543,2026
688575,2026
688599,2026
920199,2026
920263,2026
920469,2026
920489,2026
920493,2026
920575,2026
920717,2026
920719,2026
920781,2026
920932,2026
920964,2026
920985,2026
