Comparison,AUC_1,AUC_2,Delta_AUC,Z,p_value,Significant
Base: Lasso vs LGB,0.7265449543885005,0.7747275247880258,-0.048182570399525226,14.379728408668726,6.936622492647889e-47,Yes
Full: Lasso vs LGB,0.7379035508642763,0.7753377228958791,-0.03743417203160282,11.608356102707083,3.7373155499991383e-31,Yes
Full: Lasso vs RF,0.7379035508642763,0.7819185468353006,-0.04401499597102432,15.189833009946419,4.1297036953255e-52,Yes
