Comparison,AUC_1,AUC_2,Delta_AUC,Z,p_value,Significant
Stacking vs LightGBM,0.788943722034339,0.7878050009446618,0.0011387210896772748,3.2224987661809483,0.0012707771304687648,Yes
Stacking vs XGBoost,0.788943722034339,0.7864750598747785,0.002468662159560542,3.1727130937812187,0.0015102168525548158,Yes
Stacking vs RF,0.788943722034339,0.7819185468353006,0.007025175199038447,6.8623049477169715,6.775822348056189e-12,Yes
LightGBM vs XGBoost,0.7878050009446618,0.7864750598747785,0.001329941069883267,1.4304644731912965,0.15258375530673457,No
LightGBM vs RF,0.7878050009446618,0.7819185468353006,0.005886454109361172,4.452898663439171,8.47187441014486e-06,Yes
